X,Y,acceptedSc,decimalLon,decimalLat,stateProvi,icon_url
73.755876,18.366304,"""Ceropegia lawii Hook.f.""",73.755876000000001,18.366304000000000,"""Maharashtra""",./0.png
73.755876,18.366304,"""Ceropegia vincifolia Hook.""",73.755876000000001,18.366304000000000,"""Maharashtra""",./0.png
74.007271,15.969859,"""Ceropegia fantastica Sedgwick""",74.007271000000003,15.969859000000000,"""Maharashtra""",./0.png
73.633967,15.853514,"""Ceropegia attenuata Hook.""",73.633966999999998,15.853514000000001,"""Maharashtra""",./0.png
73.637996,15.857182,"""Ceropegia attenuata Hook.""",73.637996000000001,15.857182000000000,"""Maharashtra""",./0.png
73.430544,18.446903,"""Ceropegia santapaui Wadhwa & Ansari""",73.430543999999998,18.446902999999999,"""Maharashtra""",./0.png
73.51899,17.542123,"""Ceropegia santapaui Wadhwa & Ansari""",73.518990000000002,17.542123000000000,"""Maharashtra""",./0.png
73.474541,16.060328,"""Ceropegia attenuata Hook.""",73.474541000000002,16.060327999999998,"""Maharashtra""",./0.png
73.756114,18.367728,"""Ceropegia lawii Hook.f.""",73.756113999999997,18.367728000000000,"""Maharashtra""",./0.png
73.756163,18.392293,"""Ceropegia lawii Hook.f.""",73.756163000000001,18.392292999999999,"""Maharashtra""",./0.png
74.176874,16.476626,"""Ceropegia lawii Hook.f.""",74.176873999999998,16.476626000000000,"""Maharashtra""",./0.png
73.790808,16.761431,"""Ceropegia lawii Hook.f.""",73.790807999999998,16.761431000000002,"""Maharashtra""",./0.png
73.306281,18.851512,"""Ceropegia attenuata Hook.""",73.306280999999998,18.851512000000000,"""Maharashtra""",./0.png
72.793232,19.197692,"""Ceropegia bulbosa Roxb.""",72.793232000000003,19.197692000000000,"""Maharashtra""",./0.png
74.746143,20.81993,"""Ceropegia bulbosa Roxb.""",74.746143000000004,20.819929999999999,"""Maharashtra""",./0.png
72.933188,19.447501,"""Ceropegia vincifolia Hook.""",72.933188000000001,19.447500999999999,"""Maharashtra""",./0.png
73.385737,18.621234,"""Ceropegia lawii Hook.f.""",73.385737000000006,18.621234000000001,"""Maharashtra""",./0.png
73.988145,18.248169,"""Ceropegia hirsuta Wight & Arn.""",73.988145000000003,18.248169000000001,"""Maharashtra""",./0.png
